id,team,first_name,second_name,web_name,element_type,squad_number,photo
227,11,Alex,Oxlade-Chamberlain,Chamberlain,3,,81880.jpg
228,11,Roberto,Firmino,Firmino,4,,92217.jpg
229,11,Virgil,van Dijk,van Dijk,2,,97032.jpg
230,11,Sadio,Mané,Mané,3,,110979.jpg
231,11,Alisson,Ramses Becker,Alisson,1,,116535.jpg
232,11,Fabio Henrique,Tavares,Fabinho,3,,116643.jpg
233,11,Mohamed,Salah,Salah,3,,118748.jpg
234,11,Andrew,Robertson,Robertson,2,,122798.jpg
235,11,Divock,Origi,Origi,4,,152760.jpg
236,11,Takumi,Minamino,Minamino,3,,157882.jpg
237,11,Trent,Alexander-Arnold,Alexander-Arnold,2,,169187.jpg
238,11,Joseph,Gomez,Gomez,2,,171287.jpg
239,11,Naby,Keita,Keita,3,,175592.jpg
240,11,Diogo,Jota,Jota,3,,194634.jpg
241,11,Nathaniel,Phillips,Phillips,2,,197464.jpg
242,11,Caoimhin,Kelleher,Kelleher,1,,200720.jpg
243,11,Ibrahima,Konaté,Konaté,2,,204716.jpg
244,11,Curtis,Jones,Jones,3,,206915.jpg
245,11,Konstantinos,Tsimikas,Tsimikas,2,,214285.jpg
246,11,Neco,Williams,N.Williams,2,,215136.jpg
247,11,Rhys,Williams,R.Williams,2,,219937.jpg
248,11,Ben,Davies,Davies,2,,152898.jpg
506,11,Harvey,Elliott,Elliott,3,,444884.jpg
553,11,Ben,Woodburn,Woodburn,3,,182436.jpg
620,11,Tyler,Morton,Morton,3,,440148.jpg
33,12,Jack,Grealish,Grealish,3,,114283.jpg
249,12,Kyle,Walker,Walker,2,,58621.jpg
250,12,Ilkay,Gündogan,Gündogan,3,,59859.jpg
251,12,Kevin,De Bruyne,De Bruyne,3,,61366.jpg
252,12,John,Stones,Stones,2,,97299.jpg
253,12,Benjamin,Mendy,Mendy,2,,102826.jpg
254,12,Riyad,Mahrez,Mahrez,3,,103025.jpg
255,12,Raheem,Sterling,Sterling,3,,103955.jpg
256,12,João Pedro Cavaco,Cancelo,Cancelo,2,,121145.jpg
257,12,Ederson,Santana de Moraes,Ederson,1,,121160.jpg
258,12,Nathan,Aké,Aké,2,,126184.jpg
259,12,Aymeric,Laporte,Laporte,2,,146941.jpg
260,12,Zack,Steffen,Steffen,1,,164484.jpg
261,12,Bernardo Mota,Veiga de Carvalho e Silva,Bernardo,3,,165809.jpg
262,12,Rúben Santos,Gato Alves Dias,Dias,2,,171314.jpg
263,12,Gabriel Fernando,de Jesus,Jesus,4,,205651.jpg
264,12,Oleksandr,Zinchenko,Zinchenko,2,,206325.jpg
265,12,Phil,Foden,Foden,3,,209244.jpg
266,12,Rodrigo,Hernandez,Rodrigo,3,,220566.jpg
268,12,Ferran,Torres,Torres,3,,224444.jpg
453,12,Fernando,Luiz Rosa,Fernandinho,3,,27789.jpg
507,12,Cole,Palmer,Palmer,3,,244851.jpg
508,12,Samuel,Edozie,Edozie,3,,490503.jpg
566,12,Tommy,Doyle,Doyle,3,,220394.jpg
593,12,Scott,Carson,Carson,1,,17601.jpg
603,12,Luke,Mbete,Mbete,2,,439510.jpg
