id,minutes,yellow_cards,red_cards,penalties_missed,penalties_saved,goals_scored,assists,clean_sheets,goals_conceded,saves,own_goals
402,0,0,0,0,0,0,0,0,0,0,0
403,45,0,0,0,0,0,0,0,2,0,0
404,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0,0
450,245,1,0,0,0,1,1,1,3,0,0
454,0,0,0,0,0,0,0,0,0,0,0
467,270,2,0,0,0,0,0,0,5,0,0
468,89,0,0,0,0,0,0,0,1,0,0
469,0,0,0,0,0,0,0,0,0,0,0
472,94,0,0,0,0,1,0,0,2,0,0
495,158,1,0,0,0,0,0,1,1,0,0
557,0,0,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0
406,2,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0
408,270,0,0,0,0,0,0,0,5,1,0
409,270,0,0,0,0,0,0,0,5,0,0
410,0,0,0,0,0,0,0,0,0,0,0
411,270,0,0,0,0,1,1,0,5,0,0
412,5,0,0,0,0,0,0,0,0,0,0
413,268,0,0,1,0,4,4,0,5,0,0
414,270,0,0,0,0,0,0,0,5,0,0
415,2,0,0,0,0,0,0,0,0,0,0
416,11,0,0,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0,0
418,270,0,0,0,0,0,1,0,5,0,0
419,264,0,0,0,0,2,2,0,5,0,0
420,257,0,0,0,0,0,0,0,5,0,0
421,270,1,0,0,0,0,1,0,5,0,0
422,270,0,0,0,0,1,0,0,5,0,0
423,266,0,0,0,0,2,1,0,5,0,0
424,0,0,0,0,0,0,0,0,0,0,0
425,1,0,0,0,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0,0,0,0,0
589,0,0,0,0,0,0,0,0,0,0,0
426,226,0,0,0,0,0,0,0,3,0,0
427,0,0,0,0,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0,0,0,0
429,266,0,0,0,0,0,0,0,3,0,0
430,270,1,0,0,0,0,0,0,3,0,0
